track_id,filename,album_title,artist_name,genre,track_title,duration_sec
2,000002.mp3,AWOL - A Way Of Life,AWOL,Hip-Hop,Food,168
3,000003.mp3,AWOL - A Way Of Life,AWOL,Hip-Hop,Electric Ave,237
5,000005.mp3,AWOL - A Way Of Life,AWOL,Hip-Hop,This World,206
10,000010.mp3,Constant Hitmaker,Kurt Vile,Pop,Freeway,161
134,000134.mp3,AWOL - A Way Of Life,AWOL,Hip-Hop,Street Music,207
136,000136.mp3,mp3,Abominog,Rock,Peel Back The Mountain Sky,509
139,000139.mp3,Every Man For Himself,Alec K. Redfearn & the Eyesores,Folk,CandyAss,296
140,000140.mp3,The Blind Spot,Alec K. Redfearn & the Eyesores,Folk,Queen Of The Wires,253
141,000141.mp3,Every Man For Himself,Alec K. Redfearn & the Eyesores,Folk,Ohio,182
148,000148.mp3,Contradiction,Contradiction,Experimental,Blackout 2,138
181,000181.mp3,Scared Famous,Ariel Pink's Haunted Graffiti,Rock,Gopacapulco,171
182,000182.mp3,Worn Copy,Ariel Pink's Haunted Graffiti,Rock,Jules Lost His Jewels,228
190,000190.mp3,Blue Piano,Ed Askew,Folk,Castle Of Stars,249
193,000193.mp3,Blue Piano,Ed Askew,Folk,Here With You,254
194,000194.mp3,Blue Piano,Ed Askew,Folk,All I want to Do,192
197,000197.mp3,Blue Piano,Ed Askew,Folk,Piano 2,68
198,000198.mp3,Blue Piano,Ed Askew,Folk,It Breaks My Heart,269
200,000200.mp3,Blue Piano,Ed Askew,Folk,Baby Come Home,194
203,000203.mp3,Blue Piano,Ed Askew,Folk,Song For R,195
204,000204.mp3,Blue Piano,Ed Askew,Folk,My Dream,324
207,000207.mp3,Blue Piano,Ed Askew,Folk,Piano 3,96
208,000208.mp3,Blue Piano,Ed Askew,Folk,Safe Harbor,273
209,000209.mp3,Blue Piano,Ed Askew,Folk,Safe Harbor,328
210,000210.mp3,Blue Piano,Ed Askew,Folk,In the French Court,184
211,000211.mp3,Blue Piano,Ed Askew,Folk,In America,247
212,000212.mp3,Blue Piano,Ed Askew,Folk,When I Arive,230
213,000213.mp3,Au,Au,Pop,Boute,247
237,000237.mp3,6,Barnacled,Jazz,Garbage and (Garbage and Fire),450
247,000247.mp3,On Opaque Things,Bird Names,Rock,A New Map for Kissing,146
249,000249.mp3,On Opaque Things,Bird Names,Rock,The Indefinite Time Yet to Come,125
255,000255.mp3,On Opaque Things,Bird Names,Rock,We Want to be Old,182
256,000256.mp3,Black Elk,Black Elk,Rock,Toggle,202
257,000257.mp3,Black Elk,Black Elk,Rock,My Lil',146
258,000258.mp3,Black Elk,Black Elk,Rock,Eyebone,384
341,000341.mp3,30th Anniversary Blah Blah Blah,Blah Blah Blah,Rock,Count Dracula's castle,84
343,000343.mp3,30th Anniversary Blah Blah Blah,Blah Blah Blah,Rock,Cybernetics,66
352,000352.mp3,30th Anniversary Blah Blah Blah,Blah Blah Blah,Rock,In Arabia,165
368,000368.mp3,30th Anniversary Blah Blah Blah,Blah Blah Blah,Rock,Vampires,280
369,000369.mp3,30th Anniversary Blah Blah Blah,Blah Blah Blah,Rock,Whistle while you work,185
397,000397.mp3,On the Back of a Dying Beast: Volume 1,Borful Tang,Electronic,The Tides Of Land,240
398,000398.mp3,Root,Borful Tang,Electronic,Borful Tang Loves Nomeansno,344
399,000399.mp3,Root,Borful Tang,Electronic,ELI,388
400,000400.mp3,On the Back of a Dying Beast: Volume 1,Borful Tang,Electronic,Electronic Interlude VI,395
405,000405.mp3,Root,Borful Tang,Electronic,Majestic Shuffle,439
414,000414.mp3,Root,Borful Tang,Electronic,John And Mary - The Restaurant,230
424,000424.mp3,The Definitive Host,Brian Joseph Davis,Experimental,The Ambient Honky,76
425,000425.mp3,Original Soundtrack: Work for 20 DVD Players,Brian Joseph Davis,Experimental,Track5,384
458,000458.mp3,Hunt Like Devil EP,CAVE,Rock,Hunt Like Devil 4,223
459,000459.mp3,Butthash,CAVE,Rock,Machines and Muscles,301
512,000512.mp3,Lingua Ignota,Celesteville,Rock,"""""",87
534,000534.mp3,One Mind,Charles Manson,Folk,I Can See You,80
535,000535.mp3,One Mind,Charles Manson,Folk,Angels Fear To Tread,160
536,000536.mp3,One Mind,Charles Manson,Folk,Riding On Your Fears,304
537,000537.mp3,One Mind,Charles Manson,Folk,I Don't Need Water Sprinklers In The Desert,406
540,000540.mp3,One Mind,Charles Manson,Folk,The Black Pirate,309
546,000546.mp3,One Mind,Charles Manson,Folk,If You Have No One,319
550,000550.mp3,Unreleased,Chief Boima,Electronic,Cello Duet No. 1,272
564,000564.mp3,Cinwaves,Cinwaves,Rock,The Sugar Society,141
573,000573.mp3,Babylon Rules,Clockcleaner,Rock,When My Ship Comes In,394
574,000574.mp3,Babylon Rules,Clockcleaner,Rock,Caliente Queen,267
583,000583.mp3,"WAR (If It Feels Good, Do It!)",DJ's of Mass Destruction,Hip-Hop,"WAR (If It Feels Good, Do It!)",134
584,000584.mp3,"WAR (If It Feels Good, Do It!)",DJ's of Mass Destruction,Hip-Hop,Liberate The Children (Live),228
585,000585.mp3,"WAR (If It Feels Good, Do It!)",DJ's of Mass Destruction,Hip-Hop,Weapons? What Weapons of Mass Destruction? (Live),122
590,000590.mp3,Finally Here,Delta Dreambox,Jazz,Stuck,131
591,000591.mp3,Finally Here,Delta Dreambox,Jazz,Without A Sound,228
592,000592.mp3,Finally Here,Delta Dreambox,Jazz,Song X,206
593,000593.mp3,Finally Here,Delta Dreambox,Jazz,Finally Here,189
602,000602.mp3,Clones of Eros,Dora Bleu,Folk,Disappearing,445
603,000603.mp3,Clones of Eros,Dora Bleu,Folk,Lover of Nightmares,439
605,000605.mp3,Double Dagger,Double Dagger,Rock,I Was So Bored I Wanted To Hang Myself On The Dancefloor,108
608,000608.mp3,Double Dagger,Double Dagger,Rock,Punk Rock vs. Swiss Modernism,159
615,000615.mp3,Immaterial,EKG,Experimental,"Immaterial, side A",519
619,000619.mp3,Viridian City,Ed Askew,Folk,Pebble Beach,198
620,000620.mp3,Viridian City,Ed Askew,Folk,Arabesque,205
